Model:	LI-7200 Enclosed CO2/H2O Analyzer
SN:	72H-0848
Instrument:	LATICE-Flux_Finse
File Type:	2
Software Version:	8.7.5
Timestamp:	09:30:00
Timezone:	UTC
DATAH	Seconds	Nanoseconds	Diagnostic Value	Diagnostic Value 2	Date	Time	CO2 (mmol/m^3)	H2O (mmol/m^3)	Total Pressure (kPa)	Aux 1 - U (m/s)	Aux 2 - V (m/s)	Aux 3 - W (m/s)	Aux 4 - SOS (m/s)	CO2 dry(umol/mol)	H2O dry(mmol/mol)	Cell Temperature (C)	Temperature In (C)	Temperature Out (C)	Average Signal Strength	CO2 Signal Strength	H2O Signal Strength	Delta Signal Strength	Flow Rate (lpm)	CHK
DATA	1534152603	600000000	8191	1	2018-08-13	09:30:03:600	14.1848	233.51	86.2904	-0.515268	0.839734	-0.0897893	337.345	394.356	6.4919	13.5835	15.5205	13.0992	101.687	101.272	102.102	-0.829375	14.6658	  2
DATA	1534152603	700000000	8191	1	2018-08-13	09:30:03:700	14.1914	234.045	86.2904	-0.500984	0.760148	-0.137235	337.329	394.609	6.50787	13.6142	15.4799	13.1478	101.689	101.275	102.104	-0.829136	14.6658	 36
DATA	1534152603	800000000	8191	1	2018-08-13	09:30:03:800	14.1904	234.145	86.2928	-0.470374	0.744843	-0.0974418	337.249	394.521	6.50972	13.5795	15.4697	13.107	101.687	101.272	102.102	-0.829375	14.6658	 45
DATA	1534152603	900000000	8191	1	2018-08-13	09:30:03:900	14.1914	234.097	86.2964	-0.420377	0.664237	-0.125756	337.282	394.697	6.51079	13.6222	15.4633	13.1619	101.687	101.272	102.102	-0.829375	14.6658	 38
DATA	1534152604	0	8191	1	2018-08-13	09:30:04:000	14.1946	233.653	86.2976	-0.450987	0.681583	-0.10586	337.234	394.737	6.49764	13.6328	15.5218	13.1606	101.688	101.272	102.104	-0.831449	14.6658	115
DATA	1534152604	100000000	8191	1	2018-08-13	09:30:04:100	14.1931	232.391	86.2928	-0.499963	0.664237	-0.101523	337.344	394.575	6.4606	13.5938	15.5002	13.1172	101.688	101.272	102.104	-0.831449	14.6658	213
DATA	1534152604	200000000	8191	1	2018-08-13	09:30:04:200	14.1954	232.132	86.2953	-0.499963	0.698928	-0.12142	337.218	394.696	6.4543	13.6357	15.4595	13.1797	101.688	101.27	102.106	-0.835836	14.6658	160
DATA	1534152604	300000000	8191	1	2018-08-13	09:30:04:300	14.1938	231.568	86.2988	-0.471394	0.730559	-0.121675	337.263	394.618	6.43806	13.6203	15.5053	13.1491	101.69	101.275	102.106	-0.831211	14.6658	218
DATA	1534152604	400000000	8191	1	2018-08-13	09:30:04:400	14.2012	231.573	86.2989	-0.469353	0.874425	-0.0573937	337.14	394.809	6.43801	13.6372	15.4672	13.1797	101.69	101.275	102.106	-0.831211	14.6658	229
DATA	1534152604	500000000	8191	1	2018-08-13	09:30:04:500	14.1956	231.571	86.2983	-0.468333	0.85606	-0.0660666	337.218	394.603	6.43708	13.629	15.5028	13.1606	101.69	101.275	102.106	-0.831211	14.6658	167
DATA	1534152604	600000000	8191	1	2018-08-13	09:30:04:600	14.194	231.669	86.2971	-0.467313	0.871365	-0.0658115	337.249	394.677	6.44176	13.578	15.4773	13.1031	101.69	101.275	102.106	-0.831211	14.6658	181
DATA	1534152604	700000000	8191	1	2018-08-13	09:30:04:700	14.1957	231.61	86.3	-0.499963	0.889731	-0.0897893	337.314	394.646	6.43883	13.587	15.4609	13.1185	101.685	101.27	102.1	-0.829613	14.6658	224
DATA	1534152604	800000000	8191	1	2018-08-13	09:30:04:800	14.1938	231.973	86.2959	-0.404052	0.890751	-0.109686	337.186	394.602	6.4491	13.5996	15.5702	13.107	101.686	101.27	102.102	-0.831687	14.6658	145
DATA	1534152604	900000000	8191	1	2018-08-13	09:30:04:900	14.1885	232.42	86.2953	-0.419357	0.85708	-0.145653	337.091	394.483	6.46196	13.6027	15.5346	13.1197	101.687	101.272	102.102	-0.829375	14.6658	198
DATA	1534152605	0	8191	1	2018-08-13	09:30:05:000	14.1896	232.659	86.2953	-0.372422	0.952991	-0.0895342	337.218	394.486	6.46815	13.6361	15.6096	13.1427	101.69	101.275	102.106	-0.831211	14.6658	156
DATA	1534152605	100000000	8191	1	2018-08-13	09:30:05:100	14.1945	233.011	86.2988	-0.546899	0.937686	-0.073464	337.219	394.702	6.47926	13.6153	15.4697	13.1516	101.69	101.275	102.106	-0.831211	14.6658	241
DATA	1534152605	200000000	8191	1	2018-08-13	09:30:05:200	14.1936	232.717	86.297	-0.485679	0.889731	-0.205087	337.234	394.66	6.47079	13.6046	15.5181	13.1262	101.688	101.273	102.104	-0.831449	14.6658	194
DATA	1534152605	300000000	8191	1	2018-08-13	09:30:05:300	14.1909	232.342	86.2945	-0.498943	0.904015	-0.045915	337.283	394.648	6.46139	13.6635	15.5372	13.1951	101.69	101.275	102.104	-0.829136	14.6658	235
DATA	1534152605	400000000	8191	1	2018-08-13	09:30:05:400	14.194	232.651	86.2898	-0.499963	0.762189	-0.0895342	337.186	394.654	6.46871	13.6163	15.5715	13.1274	101.686	101.27	102.102	-0.831687	14.6658	  9
DATA	1534152605	500000000	8191	1	2018-08-13	09:30:05:500	14.194	232.761	86.2934	-0.64383	0.650973	0.0227024	337.17	394.593	6.47075	13.5997	15.4838	13.1287	101.686	101.27	102.102	-0.831687	14.6658	101
DATA	1534152605	600000000	8191	1	2018-08-13	09:30:05:600	14.1958	232.792	86.2988	-0.818307	0.791779	-0.133409	337.187	394.695	6.47247	13.6158	15.4927	13.1466	101.688	101.273	102.104	-0.831449	14.6658	 77
DATA	1534152605	700000000	8191	1	2018-08-13	09:30:05:700	14.1918	233.067	86.3012	-0.962174	0.85912	-0.129582	337.297	394.586	6.48016	13.6248	15.4659	13.1645	101.684	101.268	102.1	-0.831926	14.6658	149
DATA	1534152605	800000000	8191	1	2018-08-13	09:30:05:800	14.1951	233.561	86.2994	-0.945849	0.937686	0.0186211	337.36	394.715	6.49446	13.636	15.5117	13.167	101.687	101.273	102.102	-0.829375	14.6658	166
DATA	1534152605	900000000	8191	1	2018-08-13	09:30:05:900	14.19	236.22	86.3	-0.994825	1.01625	-0.0655564	337.331	394.594	6.5688	13.6412	15.63	13.144	101.687	101.273	102.102	-0.829375	14.6658	 30
DATA	1534152606	0	8191	1	2018-08-13	09:30:06:000	14.1944	236.843	86.2988	-0.915239	0.987683	-0.0420887	337.426	394.737	6.58645	13.6265	15.5766	13.1389	101.686	101.273	102.1	-0.827301	14.6658	143
DATA	1534152606	100000000	8191	1	2018-08-13	09:30:06:100	14.1979	237.441	86.291	-0.800961	1.08155	-0.157641	337.392	394.79	6.60231	13.6022	15.5321	13.1198	101.686	101.273	102.1	-0.827301	14.6658	255
DATA	1534152606	200000000	8191	1	2018-08-13	09:30:06:200	14.1937	237.611	86.2934	-0.768311	1.0336	-0.0974418	337.345	394.714	6.60774	13.6114	15.5626	13.1236	101.687	101.273	102.102	-0.829375	14.6658	221
DATA	1534152606	300000000	8191	1	2018-08-13	09:30:06:300	14.1949	238.035	86.2904	-0.769331	1.01727	0.0104584	337.33	394.664	6.61813	13.6087	15.4876	13.139	101.688	101.275	102.1	-0.824988	14.6658	 47
DATA	1534152606	400000000	8191	1	2018-08-13	09:30:06:400	14.1935	239.65	86.2922	-0.708111	0.905035	0.0464252	337.537	394.736	6.66492	13.6104	15.5219	13.1326	101.685	101.273	102.098	-0.825226	14.6659	230
DATA	1534152606	500000000	8191	1	2018-08-13	09:30:06:500	14.1903	241.452	86.2928	-0.803002	0.842795	0.186211	337.697	394.615	6.71448	13.6105	15.5678	13.1211	101.683	101.271	102.096	-0.825477	14.6659	235
DATA	1534152606	600000000	8191	1	2018-08-13	09:30:06:600	14.1855	243.253	86.2916	-0.832592	0.681583	0.182129	337.825	394.527	6.76534	13.5844	15.4888	13.1083	101.682	101.27	102.094	-0.823402	14.6659	205
DATA	1534152606	700000000	8191	1	2018-08-13	09:30:06:700	14.1848	243.834	86.2994	-0.61118	0.699949	0.297937	337.906	394.588	6.78287	13.6396	15.5601	13.1594	101.684	101.273	102.096	-0.823152	14.6659	254
DATA	1534152606	800000000	8191	1	2018-08-13	09:30:06:800	14.1913	244.259	86.2982	-0.755046	0.731579	0.501239	337.793	394.664	6.79289	13.5993	15.4406	13.139	101.682	101.271	102.094	-0.823414	14.6659	222
DATA	1534152606	900000000	8191	1	2018-08-13	09:30:06:900	14.1857	245.092	86.2928	-0.783616	0.669339	0.545368	337.428	394.552	6.81686	13.5924	15.5029	13.1147	101.683	101.271	102.096	-0.825477	14.6659	 33
DATA	1534152607	0	8191	1	2018-08-13	09:30:07:000	14.1942	242.858	86.2941	-1.12237	0.584651	0.0186211	337.744	394.786	6.75465	13.6199	15.5131	13.1467	101.684	101.273	102.096	-0.823152	14.6659	111
DATA	1534152607	100000000	8191	1	2018-08-13	09:30:07:100	14.1902	244.402	86.2983	-1.31215	0.791779	0.00688725	337.394	394.639	6.79697	13.6539	15.494	13.1939	101.685	101.273	102.098	-0.825226	14.6659	 24
DATA	1534152607	200000000	8191	1	2018-08-13	09:30:07:200	14.1957	242.961	86.3	-1.39378	0.810144	0.0423438	337.331	394.818	6.75733	13.5781	15.4673	13.1058	101.685	101.273	102.098	-0.825226	14.6659	 91
DATA	1534152607	300000000	8191	1	2018-08-13	09:30:07:300	14.1996	240.159	86.3	-1.29582	0.85708	0.0543327	337.201	394.836	6.6779	13.6085	15.4965	13.1365	101.688	101.275	102.1	-0.824988	14.6659	169
DATA	1534152607	400000000	8191	1	2018-08-13	09:30:07:400	14.2051	238.376	86.2964	-1.26419	0.793819	0.130348	337.283	394.989	6.62835	13.5684	15.4851	13.0892	101.687	101.273	102.1	-0.827301	14.6659	111
DATA	1534152607	500000000	8191	1	2018-08-13	09:30:07:500	14.203	238.933	86.3012	-1.29582	0.777494	0.126011	337.297	395	6.64499	13.6427	15.4482	13.1913	101.684	101.271	102.098	-0.827551	14.6659	202
DATA	1534152607	600000000	8191	1	2018-08-13	09:30:07:600	14.1953	239.088	86.2928	-1.05911	0.761169	0.142081	337.299	394.748	6.64865	13.6271	15.5029	13.1582	101.684	101.271	102.098	-0.827551	14.6659	217
DATA	1534152607	700000000	8191	1	2018-08-13	09:30:07:700	14.1947	238.945	86.2934	-1.18563	0.810144	0.0619852	337.266	394.723	6.64451	13.5881	15.4609	13.1199	101.684	101.271	102.098	-0.827551	14.6659	 13
DATA	1534152607	800000000	8191	1	2018-08-13	09:30:07:800	14.1969	237.948	86.2953	-1.2346	0.872385	0.198455	337.394	394.815	6.61733	13.6582	15.5207	13.1926	101.683	101.271	102.096	-0.825477	14.6659	188
DATA	1534152607	900000000	8191	1	2018-08-13	09:30:07:900	14.1994	237.09	86.2886	-1.20093	0.777494	0.273959	337.298	394.908	6.59386	13.6156	15.5933	13.1212	101.691	101.278	102.105	-0.826824	14.6659	190
DATA	1534152608	0	8191	1	2018-08-13	09:30:08:000	14.1938	237.551	86.2898	-1.02748	0.825449	0.266562	337.41	394.75	6.60664	13.6281	15.5741	13.1416	101.689	101.275	102.102	-0.827062	14.6659	220
DATA	1534152608	100000000	8191	1	2018-08-13	09:30:08:100	14.1925	237.771	86.2898	-0.929524	0.537716	0.333394	337.36	394.714	6.61275	13.6102	15.5461	13.1262	101.689	101.275	102.102	-0.827062	14.6659	187
DATA	1534152608	200000000	8191	1	2018-08-13	09:30:08:200	14.1946	237.396	86.2886	-1.23358	0.633627	0.142592	337.458	394.752	6.60199	13.6105	15.5118	13.1352	101.685	101.271	102.1	-0.829625	14.6659	 96
DATA	1534152608	300000000	8191	1	2018-08-13	09:30:08:300	14.1973	237.557	86.2951	-0.994825	0.537716	0.405582	337.378	394.912	6.6079	13.7106	15.5576	13.2489	101.688	101.275	102.1	-0.824988	14.6659	140
DATA	1534152608	400000000	8191	1	2018-08-13	09:30:08:400	14.1972	238.164	86.2988	-1.47132	0.268348	0.246155	337.393	394.84	6.62359	13.6611	15.4991	13.2016	101.691	101.278	102.105	-0.826824	14.6659	155
DATA	1534152608	500000000	8191	1	2018-08-13	09:30:08:500	14.1936	239.058	86.2964	-1.45704	0.378544	0.166059	337.49	394.728	6.64825	13.6772	15.4622	13.2309	101.689	101.275	102.102	-0.827062	14.6659	164
DATA	1534152608	600000000	8191	1	2018-08-13	09:30:08:600	14.1928	238.593	86.2976	-1.37643	0.362218	0.313242	337.49	394.627	6.63402	13.6008	15.5297	13.1186	101.687	101.273	102.1	-0.827312	14.6659	 42
DATA	1534152608	700000000	8191	1	2018-08-13	09:30:08:700	14.1937	239.102	86.3035	-1.48867	0.477516	0.134174	337.522	394.718	6.6493	13.6307	15.5869	13.1416	101.686	101.273	102.098	-0.82525	14.6659	110
DATA	1534152608	800000000	8191	1	2018-08-13	09:30:08:800	14.1933	239.309	86.2982	-1.3948	0.554041	0.122695	337.615	394.696	6.65484	13.606	15.4991	13.1327	101.687	101.273	102.1	-0.827312	14.6659	  7
DATA	1534152608	900000000	8191	1	2018-08-13	09:30:08:900	14.193	239.36	86.3001	-1.55091	0.569346	0.146418	337.154	394.641	6.65547	13.6447	15.5551	13.1672	101.692	101.28	102.105	-0.824511	14.6659	 33
DATA	1534152609	0	8191	1	2018-08-13	09:30:09:000	14.2065	235.244	86.2965	-1.64886	0.668318	0.249982	337.009	395.016	6.54105	13.6109	15.4572	13.1493	101.69	101.275	102.105	-0.829136	14.6659	 13
DATA	1534152609	100000000	8191	1	2018-08-13	09:30:09:100	14.2097	232.473	86.2934	-1.56723	0.665257	0.241564	337.041	395.053	6.46314	13.61	15.5805	13.1174	101.69	101.275	102.105	-0.829136	14.6659	 14
DATA	1534152609	200000000	8191	1	2018-08-13	09:30:09:200	14.211	230.666	86.2988	-2.03046	0.570366	-0.0696377	336.93	395.171	6.41419	13.6455	15.6047	13.1557	101.692	101.275	102.109	-0.833285	14.6659	188
DATA	1534152609	300000000	8191	1	2018-08-13	09:30:09:300	14.2092	229.777	86.2874	-2.12637	0.632607	0.157897	337.185	395.123	6.38954	13.6414	15.5386	13.1672	101.69	101.273	102.107	-0.833535	14.6659	161
DATA	1534152609	400000000	8191	1	2018-08-13	09:30:09:400	14.2093	229.083	86.2927	-1.87027	0.745864	0.0344362	337.074	395.129	6.37027	13.6422	15.5322	13.1697	101.691	101.275	102.107	-0.831211	14.6659	229
DATA	1534152609	500000000	8191	1	2018-08-13	09:30:09:500	14.2064	229.495	86.2909	-1.79273	0.761169	0.209678	337.233	394.94	6.38001	13.606	15.5195	13.1276	101.689	101.273	102.105	-0.831461	14.6659	101
DATA	1534152609	600000000	8191	1	2018-08-13	09:30:09:600	14.2086	228.934	86.2884	-1.93353	1.06421	0.266307	337.489	395.102	6.36601	13.5982	15.4445	13.1366	101.693	101.278	102.109	-0.830972	14.6659	152
DATA	1534152609	700000000	8191	1	2018-08-13	09:30:09:700	14.21	228.778	86.2921	-1.71314	0.745864	0.237738	337.153	395.155	6.36192	13.6501	15.5411	13.1774	101.691	101.275	102.107	-0.831211	14.6659	 76
DATA	1534152609	800000000	8191	1	2018-08-13	09:30:09:800	14.2074	229.075	86.2933	-1.44173	0.524451	0.21427	337.01	395.066	6.36992	13.6203	15.545	13.1391	101.689	101.273	102.105	-0.831449	14.6659	 24
DATA	1534152609	900000000	8191	1	2018-08-13	09:30:09:900	14.2089	228.78	86.2898	-1.39378	0.535675	0.0344362	337.105	395.079	6.36123	13.6701	15.5386	13.203	101.691	101.276	102.107	-0.831211	14.6659	149
DATA	1534152610	0	8191	1	2018-08-13	09:30:10:000	14.2102	228.684	86.297	-1.42541	0.474455	-0.0418337	337.106	394.991	6.35653	13.605	15.5501	13.1187	101.689	101.273	102.105	-0.831449	14.6659	 23
DATA	1534152610	100000000	8191	1	2018-08-13	09:30:10:100	14.2123	229.165	86.2976	-1.64784	0.762189	0.0380074	337.089	395.115	6.371	13.5862	15.461	13.1174	101.691	101.276	102.107	-0.831211	14.6659	 56
DATA	1534152610	200000000	8191	1	2018-08-13	09:30:10:200	14.2064	229.693	86.2892	-1.55091	1.04992	0.0464252	337.108	394.968	6.38593	13.6297	15.5514	13.1493	101.689	101.273	102.105	-0.831449	14.6659	195
DATA	1534152610	300000000	8191	1	2018-08-13	09:30:10:300	14.2053	229.629	86.2958	-1.40806	1.12849	-0.0181109	337.153	394.904	6.38363	13.6244	15.5908	13.1327	101.692	101.278	102.107	-0.828898	14.6659	232
DATA	1534152610	400000000	8191	1	2018-08-13	09:30:10:400	14.209	229.509	86.2988	-1.57029	1.11012	-0.121675	337.122	395.015	6.38041	13.6223	15.5501	13.1404	101.691	101.276	102.107	-0.831211	14.6659	 62
DATA	1534152610	500000000	8191	1	2018-08-13	09:30:10:500	14.2057	229.723	86.2965	-1.69579	0.616281	-0.133153	337.217	394.943	6.38672	13.607	15.5501	13.1213	101.688	101.271	102.105	-0.833762	14.6659	167
DATA	1534152610	600000000	8191	1	2018-08-13	09:30:10:600	14.2092	230.093	86.2934	-1.76007	0.680562	-0.105604	337.314	395.055	6.39721	13.6642	15.5348	13.1966	101.687	101.271	102.103	-0.831687	14.6659	210
DATA	1534152610	700000000	8191	1	2018-08-13	09:30:10:700	14.2058	230.464	86.2916	-1.5356	0.745864	-0.0219372	337.249	394.927	6.40701	13.6198	15.5221	13.1442	101.69	101.276	102.105	-0.829136	14.6659	168
DATA	1534152610	800000000	8191	1	2018-08-13	09:30:10:800	14.2071	231.123	86.2922	-1.61825	0.954011	-0.165549	337.232	394.966	6.42537	13.617	15.5641	13.1302	101.686	101.269	102.103	-0.834	14.6659	248
DATA	1534152610	900000000	8191	1	2018-08-13	09:30:10:900	14.2065	231.585	86.2982	-1.47234	0.986662	-0.181109	337.25	394.992	6.4389	13.6328	15.5768	13.1468	101.687	101.271	102.103	-0.831687	14.6659	158
DATA	1534152611	0	8191	1	2018-08-13	09:30:11:000	14.2053	232.049	86.2982	-1.39173	0.700969	-0.177283	337.317	394.884	6.4506	13.6206	15.4852	13.1545	101.687	101.271	102.103	-0.831687	14.6659	 39
DATA	1534152611	100000000	8191	1	2018-08-13	09:30:11:100	14.2048	231.916	86.2922	-1.48867	0.745864	-0.145397	337.217	395.007	6.44914	13.6247	15.5616	13.1405	101.687	101.273	102.101	-0.827312	14.6659	214
DATA	1534152611	200000000	8191	1	2018-08-13	09:30:11:200	14.2092	232.149	86.2958	-1.52132	0.921361	-0.0897893	337.441	395.096	6.45506	13.6734	15.5959	13.1928	101.688	101.273	102.103	-0.829375	14.6659	 38
DATA	1534152611	300000000	8191	1	2018-08-13	09:30:11:300	14.2026	232.679	86.2951	-1.26725	0.951971	-0.177538	337.298	394.922	6.46997	13.7005	15.5629	13.2349	101.685	101.269	102.101	-0.831938	14.6659	  0
